#mpa_vJan25_CHOCOPhlAnSGB_202503
#/usr/local/bin/metaphlan --nproc 6 --input_type fastq H_13_01_nohost_R1.fastq.gz,H_13_01_nohost_R2.fastq.gz --bowtie2out H_13_01_nohost_H_13_01_nohost_mpa_v30.metaphlan.bowtie2out.txt --bowtie2db metaphlan_db --index mpa_vJan25_CHOCOPhlAnSGB_202503 --biom H_13_01_nohost_H_13_01_nohost_mpa_v30.metaphlan.biom --output_file H_13_01_nohost_H_13_01_nohost_mpa_v30.metaphlan_profile.txt
#11741905 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Pseudomonadota	2|1224	73.77273	
k__Bacteria|p__Firmicutes	2|1239	26.20789	
k__Bacteria|p__Actinomycetota	2|201174	0.01938	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	73.77273	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	26.20789	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.01938	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	73.32265	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	26.20789	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.45008	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales	2|201174|1760|85006	0.01938	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	73.32265	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	26.20789	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	2|1224|1236|72274|135621	0.45008	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae	2|201174|1760|85006|85023	0.01938	
