#mpa_vJan25_CHOCOPhlAnSGB_202503
#/usr/local/bin/metaphlan --nproc 6 --input_type fastq NH_12_01_nohost_R1.fastq.gz,NH_12_01_nohost_R2.fastq.gz --bowtie2out NH_12_01_nohost_NH_12_01_nohost_mpa_v30.metaphlan.bowtie2out.txt --bowtie2db metaphlan_db --index mpa_vJan25_CHOCOPhlAnSGB_202503 --biom NH_12_01_nohost_NH_12_01_nohost_mpa_v30.metaphlan.biom --output_file NH_12_01_nohost_NH_12_01_nohost_mpa_v30.metaphlan_profile.txt
#9862222 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Pseudomonadota	2|1224	98.53472	
k__Bacteria|p__Firmicutes	2|1239	1.31453	
k__Bacteria|p__Nitrospirota	2|40117	0.15075	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	98.53472	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.31453	
k__Bacteria|p__Nitrospirota|c__Nitrospiria	2|40117|203693	0.15075	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	98.338	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.31453	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Legionellales	2|1224|1236|118969	0.19671	
k__Bacteria|p__Nitrospirota|c__Nitrospiria|o__Nitrospirales	2|40117|203693|189778	0.15075	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	98.338	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	1.31453	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae	2|1224|1236|118969|118968	0.19671	
k__Bacteria|p__Nitrospirota|c__Nitrospiria|o__Nitrospirales|f__Nitrospiraceae	2|40117|203693|189778|189779	0.15075	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter	2|1224|1236|91347|543|547	82.05	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella	2|1224|1236|91347|543|570	16.15483	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	2|1239|91061|186826|81852|1350	1.31453	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae|g__GGB123400	2|1224|1236|118969|118968|	0.19671	
k__Bacteria|p__Nitrospirota|c__Nitrospiria|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira	2|40117|203693|189778|189779|1234	0.14481	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Leclercia	2|1224|1236|91347|543|83654	0.13317	
k__Bacteria|p__Nitrospirota|c__Nitrospiria|o__Nitrospirales|f__Nitrospiraceae|g__GGB6360	2|40117|203693|189778|189779|	0.00595	
